category,molecule,parameter,value,unit,evidence_level,basis,source_title,source_url,confidence,notes
reduction,EC,reduction_target_E1/2,0.47,V_vs_Li,literature_numeric,"Numeric reduction-potential target for EC in Li+ solvation context","Atomic thermodynamics and microkinetics of the reduction mechanism of electrolyte additives to facilitate the formation of solid electrolyte interphases in lithium-ion batteries",https://pmc.ncbi.nlm.nih.gov/articles/PMC9052788/,medium,"Used to map into state_free_energy_offsets_kjmol in config_redox_electrolyte_effective.json"
reduction,DMC,reduction_target_E1/2,0.38,V_vs_Li,literature_numeric,"Numeric reduction-potential target for DMC in Li+ solvation context","Atomic thermodynamics and microkinetics of the reduction mechanism of electrolyte additives to facilitate the formation of solid electrolyte interphases in lithium-ion batteries",https://pmc.ncbi.nlm.nih.gov/articles/PMC9052788/,medium,"Used to map into state_free_energy_offsets_kjmol in config_redox_electrolyte_effective.json"
oxidation,EC,oxidation_target_onset,4.4,V_vs_Li,literature_trend,"Effective oxidation onset chosen to reflect EC becoming problematic in high-voltage carbonate electrolytes above about 4.3 V","Ethylene Carbonate-Free Electrolytes for High Voltage Lithium-Ion Batteries: Progress and Perspectives",https://pubs.acs.org/doi/10.1021/acs.energyfuels.4c02728,medium,"Screening target, not universal intrinsic oxidation constant"
oxidation,DMC,oxidation_target_onset,4.7,V_vs_Li,semi_empirical_mapping,"Placed above EC to encode the literature-consistent trend that DMC is treated as more oxidatively tolerant than EC in this screening prototype","Ethylene Carbonate-Free Electrolytes for High Voltage Lithium-Ion Batteries: Progress and Perspectives",https://pubs.acs.org/doi/10.1021/acs.energyfuels.4c02728,low,"Needs future replacement by cluster/DFT calibration or experimental fitting"
pathway,EC,EC_radical_cation_ring_opening_onset,4.20,V_vs_Li,literature_trend,"Represents early high-voltage EC ring-opening tendency at the cathode interphase","Ethylene Carbonate-Free Electrolytes for High Voltage Lithium-Ion Batteries: Progress and Perspectives",https://pubs.acs.org/doi/10.1021/acs.energyfuels.4c02728,medium,"Mechanism label from literature trend; exact onset in model is semi-empirical"
pathway,EC,EC_radical_cation_ring_opening_barrier_at_onset,95,kJ_per_mol,semi_empirical_mapping,"Chosen so that rate remains small near onset but rises sharply toward 5 V","Ethylene Carbonate-Free Electrolytes for High Voltage Lithium-Ion Batteries: Progress and Perspectives",https://pubs.acs.org/doi/10.1021/acs.energyfuels.4c02728,low,"To be replaced by DFT/NEB pathway barrier"
pathway,EC,EC_oxidative_decarboxylation_onset,4.35,V_vs_Li,literature_trend,"Secondary oxidative EC failure channel used to represent gas-evolving oxidation chemistry","Ethylene Carbonate-Free Electrolytes for High Voltage Lithium-Ion Batteries: Progress and Perspectives",https://pubs.acs.org/doi/10.1021/acs.energyfuels.4c02728,low,"Mechanism trend only"
pathway,DMC,DMC_alkoxy_carbonate_cleavage_onset,4.55,V_vs_Li,semi_empirical_mapping,"Placed above EC to reproduce slower high-voltage failure tendency for DMC in the prototype","Enhanced high voltage performance of LiNi0.5Mn0.3Co0.2O2 cathode via the synergistic effect of LiPO2F2 and FEC in fluorinated electrolyte for lithium-ion batteries",https://pmc.ncbi.nlm.nih.gov/articles/PMC8695088/,low,"Needs explicit pathway calibration"
pathway,DMC,DMC_alkoxy_carbonate_cleavage_barrier_at_onset,100,kJ_per_mol,semi_empirical_mapping,"Chosen to keep DMC slower than EC at 5 V while still becoming unstable before very high voltage extremes","Enhanced high voltage performance of LiNi0.5Mn0.3Co0.2O2 cathode via the synergistic effect of LiPO2F2 and FEC in fluorinated electrolyte for lithium-ion batteries",https://pmc.ncbi.nlm.nih.gov/articles/PMC8695088/,low,"To be replaced by DFT/NEB pathway barrier"
pathway,DMC,DMC_oxidative_demethylation_onset,4.70,V_vs_Li,semi_empirical_mapping,"Secondary DMC oxidation channel for gas-forming chemistry in high-voltage region","Enhanced high voltage performance of LiNi0.5Mn0.3Co0.2O2 cathode via the synergistic effect of LiPO2F2 and FEC in fluorinated electrolyte for lithium-ion batteries",https://pmc.ncbi.nlm.nih.gov/articles/PMC8695088/,low,"Mechanism placeholder for ranking workflow"
model,all,rate_model,"k=(kBT/h)exp(-DeltaG‡/kT)",n/a,literature_trend,"Eyring-like mapping from barrier to rate for screening purposes",, ,medium,"Used to translate voltage-dependent pathway barriers into failure thresholds"
